tr_index,time,spectral_flux,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,fundamental_frequency,rms_energy_db,category,is_music,is_silence,is_speech,is_speech_music
0,0.7430385487528345,-2.5677135043681636,5.447419278555731,-2.460577866820596,-0.34510916083885324,-0.45989883087104144,-0.19002498451570424,0.6149411184312928,1.046829695058171,1.4274106143239125,1.318361454604901,1.1878706075092842,1.4123830613642567,0.9883224719483696,1.2485184728767813,-2.115033027137953,-0.8041108644972389,3.240207210690979,speech,False,False,True,False
1,2.2523356009070294,-2.3399043481792097,5.226441633174633,-2.3217670163116364,-0.36298254025537885,-0.42020086251449773,-0.21431433050043802,0.5552462827173378,1.0617742204585483,1.3466926477974466,1.1649837500287792,1.1404943748430243,1.3462820426142628,0.9468477963859132,1.2034539952279004,-1.9983268060713244,-0.7687058691716135,3.114339886476256,speech,False,False,True,False
2,3.7500226757369615,-0.8134372109648279,3.5544567762647117,-1.3489151817833103,-0.43543943698477255,-0.1330590973768192,-0.351589820131037,0.14361719759768707,1.1168028157169152,0.7892384640870538,0.11610475462732223,0.7870231980404147,0.8772719904652099,0.623668432356016,0.8721381953803291,-1.143907775178104,-0.5278633178478372,2.17142078296,music,True,False,False,False
3,5.2477097505668935,0.9849286268683416,0.6064263952569963,0.05510762652131119,-0.26506213170193954,0.2884472619952135,-0.43882753221331505,-0.4429711474540577,0.9871554101457184,0.06135607651462045,-1.2939570539164087,0.15327580265998295,0.17598663043121168,-0.048975064890298806,0.3232539500802213,0.2149277350523134,-0.2249605051693746,0.5664620309758946,music,True,False,False,False
4,6.745396825396825,2.2116964775638315,-1.6375713097982254,1.3346298100367662,0.0007527589844407404,0.425785125263271,-0.8141039203328889,-1.0690321751667895,1.0619828464534662,-0.38857626715520693,-2.6706028029243036,-0.5401463090156177,-0.4558447089020708,-0.9509217295818528,-0.2175885213789906,1.1135541038399939,0.011886298123724359,-0.5200279903668324,music,True,False,False,False
5,8.243083900226758,2.1007387761233,-2.58731458699094,2.0954509561869816,0.4891452994241944,0.1988855269139828,-1.20074401810314,-1.197756613159183,1.0001218198535953,-0.5059711815017822,-3.1715133660015438,-1.1137637278144723,-0.9529306681736438,-1.8720618165834513,-1.0670426543553952,1.2095840721083466,0.2101073230906929,-0.6056450176598919,music,True,False,False,False
6,9.752380952380953,0.6609245632766825,-2.5957292447404123,2.4147664937429285,1.444811960128359,0.1555783417004654,-1.3944558418462305,-1.1081392219025834,0.15601720960367088,-0.64270675338707,-2.6852441183200106,-1.5202885076630255,-1.50929879690423,-2.80969016941758,-2.383818418910198,0.4452355406572661,0.5180769078180609,-0.04889085840379914,music,True,False,False,False
7,11.250068027210885,-1.177894831658501,-2.2546165092873607,2.2311839132764026,2.4584942099337463,0.718974539542036,-1.0561589258394959,-0.9383036819000281,-0.9454005170858455,-0.8700328694101133,-1.8922100499376473,-1.7172946371791997,-1.9627284563128495,-3.385745830395423,-3.4374880015138634,-0.7107146082906184,0.9072277171185872,0.4335018982707361,speech_music,False,False,False,True
8,12.747755102040816,-2.4173337742356567,-1.8697050717052457,1.6758285862044613,2.93767612530017,1.3705590926931857,-0.2824798626914257,-0.545383268527118,-1.5561210679091522,-1.0345756290623327,-1.326398524440333,-1.6845657227716935,-1.965154171051644,-3.268390590226165,-3.693616495460873,-1.6095129993920754,1.2041365294229738,0.6357853043341444,speech,False,False,True,False
9,14.245442176870748,-2.6993810630231367,-1.415111047868254,1.1676932793118298,2.780626628620644,1.4576250903910066,0.15124276941460693,-0.21777382711168838,-1.5012984383460442,-0.8714900596759567,-1.0203032573466573,-1.6235753262446604,-1.7571659545227418,-2.7686458607765045,-3.313095345920202,-1.9846204298545977,1.306463171171551,0.7558614474664251,speech,False,False,True,False
