label,start,end
noEnergy,592.44,593.2
female,593.2,595.2
noEnergy,595.2,596.98
male,596.98,597.94
female,597.94,605.58
noEnergy,605.58,606.44
female,606.44,608.98
noEnergy,608.98,610.74
music,610.74,611.5
noEnergy,611.5,612.42
male,612.42,613.0600000000001
noEnergy,613.0600000000001,613.74
male,613.74,614.04
noEnergy,614.04,615.0
male,615.0,616.52
noEnergy,616.52,617.22
female,617.22,618.64
noEnergy,618.64,619.62
male,619.62,620.02
noEnergy,620.02,622.0
male,622.0,624.6
noEnergy,624.6,625.1800000000001
female,625.1800000000001,626.44
music,626.44,641.6
male,641.6,652.22
noEnergy,652.22,652.64
noise,652.64,653.84
female,653.84,654.98
male,654.98,656.58
female,656.58,657.48
noEnergy,657.48,658.04
male,658.04,658.76
female,658.76,665.26
noEnergy,665.26,665.86
female,665.86,671.32
noEnergy,671.32,672.34
noise,672.34,673.1
noEnergy,673.1,674.26
noise,674.26,674.84
noEnergy,674.84,676.46
music,676.46,683.98
noise,683.98,686.02
noEnergy,686.02,687.94
male,687.94,688.38
noEnergy,688.38,688.92
male,688.92,689.28
noEnergy,689.28,689.6800000000001
male,689.6800000000001,692.52
noise,692.52,693.36
noEnergy,693.36,695.08
female,695.08,695.6
noEnergy,695.6,696.24
male,696.24,697.24
noEnergy,697.24,698.14
male,698.14,702.14
noEnergy,702.14,702.8000000000001
male,702.8000000000001,703.16
noEnergy,703.16,703.86
male,703.86,704.72
noEnergy,704.72,706.1800000000001
female,706.1800000000001,706.54
noEnergy,706.54,707.42
male,707.42,708.02
noEnergy,708.02,709.04
female,709.04,709.92
noEnergy,709.92,710.58
female,710.58,711.52
noEnergy,711.52,712.28
female,712.28,713.78
noEnergy,713.78,714.7
female,714.7,716.6800000000001
noEnergy,716.6800000000001,717.78
female,717.78,718.38
noise,718.38,721.14
noEnergy,721.14,722.58
female,722.58,723.44
noEnergy,723.44,724.02
female,724.02,724.46
noEnergy,724.46,725.28
male,725.28,726.2
noise,726.2,728.88
male,728.88,729.6800000000001
noEnergy,729.6800000000001,730.36
male,730.36,731.52
female,731.52,734.44
male,734.44,738.12
female,738.12,741.0600000000001
male,741.0600000000001,742.5600000000001
female,742.5600000000001,743.86
male,743.86,744.6
noEnergy,744.6,745.54
male,745.54,747.38
music,747.38,755.08
male,755.08,758.22
noEnergy,758.22,758.82
music,758.82,759.62
noEnergy,759.62,760.4
male,760.4,765.9200000000001
noEnergy,765.9200000000001,766.38
male,766.38,767.34
noEnergy,767.34,768.58
male,768.58,771.14
female,771.14,772.78
noise,772.78,773.7
noEnergy,773.7,778.0600000000001
male,778.0600000000001,778.84
female,778.84,782.58
male,782.58,785.22
noEnergy,785.22,785.76
male,785.76,788.62
female,788.62,790.52
noEnergy,790.52,791.12
male,791.12,795.0600000000001
noEnergy,795.0600000000001,795.96
female,795.96,796.54
noEnergy,796.54,798.0600000000001
male,798.0600000000001,798.66
noEnergy,798.66,800.54
female,800.54,805.14
noEnergy,805.14,806.44
male,806.44,807.6800000000001
female,807.6800000000001,808.94
male,808.94,810.66
noEnergy,810.66,811.0600000000001
music,811.0600000000001,813.64
female,813.64,817.52
male,817.52,829.0600000000001
noise,829.0600000000001,832.58
male,832.58,848.0
music,848.0,858.94
male,858.94,859.6
noEnergy,859.6,860.78
female,860.78,862.08
noEnergy,862.08,863.6800000000001
male,863.6800000000001,867.14
noEnergy,867.14,867.9200000000001
male,867.9200000000001,869.64
noEnergy,869.64,870.22
male,870.22,882.1
noEnergy,882.1,882.62
male,882.62,883.0
noEnergy,883.0,883.58
male,883.58,886.6
noEnergy,886.6,887.12
male,887.12,888.2
noEnergy,888.2,888.88
male,888.88,889.3000000000001
noEnergy,889.3000000000001,890.1
male,890.1,891.16
noEnergy,891.16,891.66
male,891.66,900.24
noEnergy,900.24,901.0
male,901.0,903.64
female,903.64,907.1800000000001
male,907.1800000000001,908.82
noEnergy,908.82,909.52
male,909.52,910.16
female,910.16,918.72
noEnergy,918.72,919.96
female,919.96,923.2
noEnergy,923.2,924.02
male,924.02,925.48
noEnergy,925.48,926.76
male,926.76,932.1800000000001
noEnergy,932.1800000000001,933.36
female,933.36,937.48
noEnergy,937.48,938.44
male,938.44,939.22
noEnergy,939.22,940.34
male,940.34,940.6800000000001
noEnergy,940.6800000000001,941.16
male,941.16,944.88
noEnergy,944.88,945.72
female,945.72,947.24
male,947.24,948.0600000000001
noEnergy,948.0600000000001,948.48
male,948.48,950.54
noEnergy,950.54,951.26
male,951.26,952.12
noEnergy,952.12,953.0
female,953.0,955.14
male,955.14,961.74
noEnergy,961.74,962.62
male,962.62,963.48
noEnergy,963.48,964.32
female,964.32,966.6800000000001
male,966.6800000000001,975.28
music,975.28,981.96
male,981.96,996.1800000000001
noEnergy,996.1800000000001,998.4
male,998.4,999.4
noEnergy,999.4,1000.0
female,1000.0,1001.5400000000001
noEnergy,1001.5400000000001,1002.08
female,1002.08,1005.98
noEnergy,1005.98,1006.7
male,1006.7,1011.6800000000001
noEnergy,1011.6800000000001,1012.5600000000001
male,1012.5600000000001,1014.2
female,1014.2,1015.32
noEnergy,1015.32,1016.38
noise,1016.38,1020.28
noEnergy,1020.28,1020.9
noise,1020.9,1021.2
noEnergy,1021.2,1021.8000000000001
male,1021.8000000000001,1022.2
noEnergy,1022.2,1023.9
male,1023.9,1026.1200000000001
noEnergy,1026.1200000000001,1027.52
female,1027.52,1029.4
male,1029.4,1030.08
noEnergy,1030.08,1030.54
male,1030.54,1031.56
noEnergy,1031.56,1033.32
male,1033.32,1035.0
noEnergy,1035.0,1036.08
noise,1036.08,1036.74
noEnergy,1036.74,1037.1200000000001
male,1037.1200000000001,1039.3600000000001
noEnergy,1039.3600000000001,1040.1200000000001
male,1040.1200000000001,1042.1
noEnergy,1042.1,1043.68
female,1043.68,1046.54
noEnergy,1046.54,1047.4
male,1047.4,1049.92
noEnergy,1049.92,1050.5
male,1050.5,1052.46
noEnergy,1052.46,1053.06
male,1053.06,1053.96
noEnergy,1053.96,1054.64
male,1054.64,1059.0
noEnergy,1059.0,1059.48
male,1059.48,1062.74
noEnergy,1062.74,1063.46
female,1063.46,1064.04
noEnergy,1064.04,1064.82
male,1064.82,1066.02
noEnergy,1066.02,1067.32
male,1067.32,1068.46
noEnergy,1068.46,1068.84
music,1068.84,1069.76
noEnergy,1069.76,1070.6
female,1070.6,1071.02
noEnergy,1071.02,1071.8600000000001
male,1071.8600000000001,1072.54
noEnergy,1072.54,1073.98
noise,1073.98,1074.46
noEnergy,1074.46,1075.04
noise,1075.04,1079.6
male,1079.6,1119.28
noEnergy,1119.28,1120.1000000000001
male,1120.1000000000001,1122.24
noEnergy,1122.24,1123.28
male,1123.28,1124.56
noEnergy,1124.56,1125.4
male,1125.4,1128.24
noEnergy,1128.24,1128.92
male,1128.92,1135.34
noEnergy,1135.34,1136.14
male,1136.14,1138.0
noEnergy,1138.0,1138.82
male,1138.82,1142.88
noEnergy,1142.88,1143.4
female,1143.4,1145.44
noEnergy,1145.44,1146.08
male,1146.08,1149.2
noEnergy,1149.2,1149.96
male,1149.96,1151.98
noEnergy,1151.98,1152.7
male,1152.7,1153.72
noEnergy,1153.72,1154.22
female,1154.22,1155.06
noEnergy,1155.06,1155.54
male,1155.54,1158.6200000000001
female,1158.6200000000001,1160.96
noEnergy,1160.96,1161.92
female,1161.92,1163.22
male,1163.22,1164.94
noEnergy,1164.94,1165.88
male,1165.88,1171.26
noEnergy,1171.26,1172.14
male,1172.14,1183.6000000000001
noEnergy,1183.6000000000001,1184.7
male,1184.7,1185.34
noEnergy,1185.34,1186.34
male,1186.34,1190.68
noEnergy,1190.68,1191.16
noise,1191.16,1192.3600000000001
noEnergy,1192.3600000000001,1193.38
male,1193.38,1194.4
noEnergy,1194.4,1194.9
male,1194.9,1196.8600000000001
noEnergy,1196.8600000000001,1200.34
noise,1200.34,1200.9
noEnergy,1200.9,1203.9
male,1203.9,1206.22
noEnergy,1206.22,1207.78
male,1207.78,1209.26
noEnergy,1209.26,1211.16
male,1211.16,1213.76
noEnergy,1213.76,1215.76
male,1215.76,1218.7
noEnergy,1218.7,1219.34
male,1219.34,1220.72
noEnergy,1220.72,1221.14
male,1221.14,1226.84
noEnergy,1226.84,1227.54
male,1227.54,1228.76
noEnergy,1228.76,1230.78
male,1230.78,1234.42
noEnergy,1234.42,1235.06
female,1235.06,1239.74
noEnergy,1239.74,1241.14
male,1241.14,1242.1200000000001
noEnergy,1242.1200000000001,1242.88
male,1242.88,1244.28
noEnergy,1244.28,1246.52
male,1246.52,1247.14
noise,1247.14,1250.52
noEnergy,1250.52,1251.6000000000001
male,1251.6000000000001,1253.74
noEnergy,1253.74,1254.14
female,1254.14,1254.94
noEnergy,1254.94,1255.4
male,1255.4,1257.46
noEnergy,1257.46,1259.34
noise,1259.34,1259.74
noEnergy,1259.74,1260.24
female,1260.24,1260.98
noEnergy,1260.98,1261.4
female,1261.4,1262.28
noEnergy,1262.28,1264.22
male,1264.22,1266.08
noEnergy,1266.08,1266.82
male,1266.82,1267.82
noEnergy,1267.82,1268.38
male,1268.38,1272.04
noEnergy,1272.04,1272.44
male,1272.44,1275.6200000000001
noEnergy,1275.6200000000001,1276.5
male,1276.5,1279.18
noEnergy,1279.18,1279.7
male,1279.7,1281.58
noEnergy,1281.58,1282.26
male,1282.26,1287.24
noEnergy,1287.24,1287.8
male,1287.8,1289.06
noEnergy,1289.06,1289.84
male,1289.84,1296.28
noEnergy,1296.28,1297.0
male,1297.0,1300.46
noEnergy,1300.46,1300.8600000000001
male,1300.8600000000001,1301.76
noEnergy,1301.76,1302.46
male,1302.46,1303.3600000000001
noEnergy,1303.3600000000001,1303.88
male,1303.88,1305.66
noEnergy,1305.66,1306.3600000000001
male,1306.3600000000001,1306.8
noEnergy,1306.8,1307.52
male,1307.52,1310.6000000000001
noEnergy,1310.6000000000001,1312.06
male,1312.06,1312.44
noEnergy,1312.44,1313.14
male,1313.14,1314.0
noEnergy,1314.0,1314.72
male,1314.72,1315.8
noEnergy,1315.8,1316.56
male,1316.56,1318.78
noEnergy,1318.78,1319.4
male,1319.4,1323.08
noEnergy,1323.08,1323.72
male,1323.72,1326.38
noEnergy,1326.38,1327.1000000000001
female,1327.1000000000001,1329.46
noEnergy,1329.46,1330.02
male,1330.02,1333.76
noEnergy,1333.76,1334.6200000000001
